Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,12.300000,12.700000,11.750000,12.000000,12.000000,429000
2020-07-02,10.740000,12.310000,8.510000,9.295000,9.295000,976500
2020-07-06,9.650000,9.940000,7.400000,7.840000,7.840000,850900
2020-07-07,7.030000,7.480000,6.690000,6.760000,6.760000,455400
2020-07-08,6.990000,8.720000,5.850000,8.395000,8.395000,2275800
2020-07-09,7.790000,8.200000,7.150000,7.350000,7.350000,542000
2020-07-10,7.150000,7.265000,6.400000,6.450000,6.450000,533300
2020-07-13,6.300000,6.350000,5.340000,5.360000,5.360000,727800
2020-07-14,5.500000,5.860000,5.070000,5.550000,5.550000,715500
