Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,10.580000,10.580000,10.150000,10.250000,10.250000,213800
2020-03-18,10.150000,10.260000,10.090000,10.140000,10.140000,60000
2020-03-19,10.150000,10.150000,10.100000,10.150000,10.150000,177700
2020-03-20,10.200000,10.200000,10.200000,10.200000,10.200000,300
2020-03-23,10.200000,10.200000,9.900000,9.990000,9.990000,197600
2020-03-24,10.080000,10.080000,10.080000,10.080000,10.080000,28700
2020-03-25,10.070000,10.160000,10.020000,10.160000,10.160000,2000
2020-03-26,10.160000,10.230000,10.160000,10.230000,10.230000,37700
2020-03-27,10.340000,10.350000,10.231000,10.250000,10.250000,15500
2020-03-30,10.300000,10.300000,10.300000,10.300000,10.300000,900
2020-03-31,10.200000,10.200000,10.180000,10.180000,10.180000,76500
2020-04-01,10.200000,10.250000,10.120000,10.250000,10.250000,181500
2020-04-02,10.250000,10.250000,10.250000,10.250000,10.250000,0
2020-04-03,10.150000,10.350000,10.150000,10.350000,10.350000,10100
2020-04-06,10.255000,10.350000,10.255000,10.350000,10.350000,1500
2020-04-07,10.350000,10.350000,10.350000,10.350000,10.350000,500
2020-04-08,10.350000,10.350000,10.350000,10.350000,10.350000,0
2020-04-09,10.350000,10.400000,10.300000,10.400000,10.400000,279500
2020-04-13,10.410000,10.410000,10.350000,10.400000,10.400000,23200
2020-04-14,10.400000,10.400000,10.400000,10.400000,10.400000,0
2020-04-15,10.400000,10.400000,10.400000,10.400000,10.400000,0
2020-04-16,10.300000,10.300000,10.300000,10.300000,10.300000,50000
2020-04-17,10.300000,11.041000,10.300000,10.440000,10.440000,187500
2020-04-20,10.480000,10.813000,10.480000,10.520000,10.520000,449000
2020-04-21,10.551000,10.551000,10.551000,10.551000,10.551000,100
2020-04-22,10.620000,10.650000,10.570000,10.600000,10.600000,132700
2020-04-23,10.600000,10.600000,10.600000,10.600000,10.600000,0
2020-04-24,10.600000,10.600000,10.600000,10.600000,10.600000,0
2020-04-27,11.500000,11.510000,10.530000,10.530000,10.530000,18700
2020-04-28,10.500000,10.690000,10.500000,10.610000,10.610000,115300
2020-04-29,11.000000,11.010000,10.680000,10.740000,10.740000,140600
2020-04-30,10.670000,10.750000,10.670000,10.670000,10.670000,56500
2020-05-01,10.750000,10.750000,10.750000,10.750000,10.750000,100
2020-05-04,10.940000,10.940000,10.630000,10.700000,10.700000,8200
2020-05-05,10.700000,10.750000,10.700000,10.700000,10.700000,78700
2020-05-06,10.600000,10.690000,10.570000,10.570000,10.570000,181400
2020-05-07,10.700000,10.800000,10.690000,10.740000,10.740000,105100
2020-05-08,10.700000,10.760000,10.560000,10.740000,10.740000,627800
2020-05-11,10.700000,10.700000,10.600000,10.700000,10.700000,14600
2020-05-12,10.700000,10.700000,10.550000,10.600000,10.600000,189200
2020-05-13,10.690000,10.750000,10.570000,10.605000,10.605000,281900
2020-05-14,10.720000,10.890000,10.560000,10.890000,10.890000,679400
2020-05-15,10.870000,10.980000,10.750000,10.780000,10.780000,47400
2020-05-18,11.090000,11.090000,10.720000,10.810000,10.810000,26400
2020-05-19,10.850000,10.950000,10.800000,10.900000,10.900000,374800
2020-05-20,10.945000,11.130000,10.870000,10.910000,10.910000,165200
2020-05-21,11.390000,11.390000,10.920000,11.000000,11.000000,218400
2020-05-22,11.130000,11.140000,10.920000,10.990000,10.990000,96800
2020-05-26,11.510000,11.510000,10.975000,11.000000,11.000000,52100
2020-05-27,11.005000,11.050000,10.950000,10.950000,10.950000,180900
2020-05-28,11.050000,11.050000,10.965000,11.000000,11.000000,28600
2020-05-29,11.050000,13.740000,11.040000,13.400000,13.400000,934200
2020-06-01,12.900000,14.400000,12.900000,14.000000,14.000000,631100
2020-06-02,14.000000,14.350000,13.600000,13.990000,13.990000,349800
2020-06-03,14.000000,14.400000,13.550000,14.300000,14.300000,603700
2020-06-04,14.300000,14.300000,13.000000,13.550000,13.550000,244900
2020-06-05,14.270000,14.500000,13.630000,13.860000,13.860000,593200
2020-06-08,14.150000,14.490000,13.710000,14.190000,14.190000,126200
2020-06-09,14.350000,14.500000,14.100000,14.400000,14.400000,382300
2020-06-10,14.450000,14.950000,14.140000,14.400000,14.400000,309700
2020-06-11,14.340000,14.340000,12.680000,13.490000,13.490000,356100
2020-06-12,13.990000,13.990000,12.670000,13.400000,13.400000,126000
2020-06-15,13.050000,13.490000,12.750000,12.990000,12.990000,142000
2020-06-16,13.000000,14.400000,12.900000,13.750000,13.750000,743900
2020-06-17,14.250000,14.600000,13.890000,14.160000,14.160000,504300
2020-06-18,14.500000,14.600000,13.830000,14.050000,14.050000,272600
2020-06-19,14.240000,15.761000,14.000000,15.460000,15.460000,974900
2020-06-22,15.840000,17.480000,15.510000,17.000000,17.000000,887354
2020-06-23,17.100000,17.440001,15.800000,16.799999,16.799999,613916
2020-06-24,16.540001,16.540001,14.700000,15.550000,15.550000,332809
2020-06-25,15.390000,16.122000,15.350000,15.870000,15.870000,103757
2020-06-26,16.590000,16.770000,16.049999,16.770000,16.770000,326638
2020-06-29,17.250000,17.420000,15.790000,16.020000,16.020000,417947
2020-06-30,16.650000,16.650000,14.700000,15.740000,15.740000,335590
