Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,10.400000,10.400000,10.400000,10.400000,10.400000,0
2020-05-07,10.400000,10.400000,10.400000,10.400000,10.400000,0
2020-05-08,10.470000,10.470000,10.470000,10.470000,10.470000,100
2020-05-11,10.400000,10.500000,10.400000,10.470000,10.470000,56100
2020-05-12,10.830000,10.850000,10.600000,10.600000,10.600000,3704300
2020-05-13,10.700000,10.725000,10.530000,10.650000,10.650000,420300
2020-05-14,10.750000,10.930000,10.550000,10.700000,10.700000,553200
2020-05-15,10.850000,10.855000,10.710000,10.730000,10.730000,54600
2020-05-18,10.800000,10.900000,10.750000,10.765000,10.765000,22500
2020-05-19,10.830000,10.850000,10.740000,10.750000,10.750000,139500
2020-05-20,10.750000,10.830000,10.700000,10.710000,10.710000,42700
2020-05-21,10.710000,10.750000,10.690000,10.700000,10.700000,910000
2020-05-22,10.645000,10.790000,10.645000,10.720000,10.720000,12600
2020-05-26,10.900000,11.000000,10.750000,10.760000,10.760000,46500
2020-05-27,10.800000,10.810000,10.720000,10.800000,10.800000,13000
2020-05-28,10.925000,10.925000,10.705000,10.765000,10.765000,5100
2020-05-29,10.790000,10.810000,10.690000,10.720000,10.720000,83200
2020-06-01,10.700000,10.915000,10.700000,10.880000,10.880000,362100
2020-06-02,10.840000,10.900000,10.800000,10.900000,10.900000,35700
2020-06-03,10.810000,10.950000,10.810000,10.850000,10.850000,152400
2020-06-04,10.890000,10.900000,10.860000,10.900000,10.900000,206600
2020-06-05,11.990000,13.035000,11.990000,12.750000,12.750000,18218300
2020-06-08,13.300000,13.335000,12.780000,12.970000,12.970000,3080600
2020-06-09,13.260000,13.460000,12.920000,13.300000,13.300000,2167800
2020-06-10,13.450000,14.500000,13.260000,14.250000,14.250000,6296200
2020-06-11,14.200000,14.200000,13.350000,13.950000,13.950000,2621400
2020-06-12,14.500000,14.500000,13.750000,13.990000,13.990000,2062700
2020-06-15,13.750000,14.420000,13.650000,13.790000,13.790000,1573400
2020-06-16,14.490000,14.490000,13.300000,13.900000,13.900000,997700
2020-06-17,14.070000,14.100000,13.750000,13.900000,13.900000,865100
2020-06-18,14.000000,14.090000,13.700000,13.900000,13.900000,839000
2020-06-19,13.990000,14.100000,13.740000,13.810000,13.810000,672400
2020-06-22,14.000000,14.710000,13.690000,14.070000,14.070000,922300
2020-06-23,14.270000,14.490000,14.230000,14.300000,14.300000,1576300
2020-06-24,14.560000,14.590000,13.710000,14.300000,14.300000,710200
2020-06-25,14.000000,14.080000,13.700000,13.820000,13.820000,589700
2020-06-26,14.180000,14.180000,13.570000,13.750000,13.750000,319900
2020-06-29,13.990000,13.990000,13.530000,13.690000,13.690000,784400
2020-06-30,13.690000,13.799000,13.400000,13.700000,13.700000,467500
2020-07-01,13.860000,13.890000,13.460000,13.700000,13.700000,927000
2020-07-02,14.000000,14.250000,13.520000,13.620000,13.620000,462000
2020-07-06,14.000000,14.000000,13.400000,13.650000,13.650000,837700
2020-07-07,13.640000,13.690000,13.310000,13.650000,13.650000,889000
2020-07-08,13.600000,13.800000,13.370000,13.700000,13.700000,471000
2020-07-09,13.600000,13.750000,13.550000,13.700000,13.700000,308800
2020-07-10,13.750000,13.750000,13.580000,13.700000,13.700000,613200
2020-07-13,13.750000,14.250000,13.742000,13.900000,13.900000,1245500
2020-07-14,14.000000,14.050000,13.670000,13.900000,13.900000,683700
2020-07-15,13.890000,14.060000,13.600000,13.720000,13.720000,264800
2020-07-16,13.560000,13.970000,13.560000,13.750000,13.750000,375100
2020-07-17,13.750000,13.900000,13.505000,13.850000,13.850000,276500
