Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,9.080000,9.080000,9.080000,9.080000,8.934587,0
2020-03-18,7.380000,8.850000,7.380000,8.850000,8.708270,2000
2020-03-19,8.500000,8.500000,8.500000,8.500000,8.363875,500
2020-03-20,6.550000,6.950000,6.200000,6.200000,6.100708,2200
2020-03-23,5.980000,8.180000,5.980000,7.680000,7.557007,14300
2020-03-24,7.680000,7.680000,7.680000,7.680000,7.557007,0
2020-03-25,8.000000,8.800000,8.000000,8.800000,8.659071,400
2020-03-26,5.800000,8.350000,5.800000,8.000000,7.871882,1000
2020-03-27,8.000000,8.000000,8.000000,8.000000,7.871882,0
2020-03-30,7.400000,8.000000,7.400000,8.000000,7.871882,1600
2020-03-31,7.000000,9.340000,7.000000,9.340000,9.190423,7700
2020-04-01,9.660000,10.040000,9.660000,10.040000,9.879212,400
2020-04-02,9.217000,9.217000,7.570000,8.330000,8.196597,300
2020-04-03,8.330000,8.330000,8.330000,8.330000,8.196597,0
2020-04-06,8.330000,8.330000,8.330000,8.330000,8.196597,0
2020-04-07,8.330000,8.330000,8.330000,8.330000,8.196597,0
2020-04-08,7.840000,7.840000,7.840000,7.840000,7.714445,100
2020-04-09,7.840000,7.840000,7.840000,7.840000,7.714445,0
2020-04-13,7.840000,7.840000,7.840000,7.840000,7.714445,0
2020-04-14,6.370000,7.430000,5.670000,7.430000,7.311011,2600
2020-04-15,7.430000,7.430000,7.430000,7.430000,7.311011,0
2020-04-16,7.430000,7.430000,7.430000,7.430000,7.311011,0
2020-04-17,8.500000,9.530000,8.500000,9.520000,9.367540,1800
2020-04-20,9.570000,9.570000,9.500000,9.500000,9.347860,2800
2020-04-21,9.500000,9.500000,9.500000,9.500000,9.347860,0
2020-04-22,9.500000,9.500000,9.500000,9.500000,9.347860,0
2020-04-23,9.250000,9.250000,9.240000,9.240000,9.092024,3200
2020-04-24,9.240000,9.240000,9.240000,9.240000,9.092024,0
2020-04-27,9.240000,9.240000,9.240000,9.240000,9.092024,0
2020-04-28,9.240000,9.240000,9.240000,9.240000,9.092024,0
2020-04-29,9.240000,9.240000,9.240000,9.240000,9.092024,0
2020-04-30,9.260000,9.280000,9.240000,9.240000,9.092024,3700
2020-05-01,9.200000,9.200000,9.190000,9.190000,9.042825,200
2020-05-04,9.190000,9.190000,9.190000,9.190000,9.042825,0
2020-05-05,9.050000,9.050000,9.050000,9.050000,8.905067,100
2020-05-06,9.000000,9.000000,9.000000,9.000000,8.855867,100
2020-05-07,8.900000,8.942000,7.663000,7.663000,7.540279,400
2020-05-08,9.760000,9.760000,9.760000,9.760000,9.603697,200
2020-05-11,8.500000,8.500000,8.500000,8.500000,8.363875,300
2020-05-12,9.370000,9.370000,8.500000,8.500000,8.363875,500
2020-05-13,8.500000,8.500000,8.500000,8.500000,8.363875,0
2020-05-14,7.880000,7.880000,7.810000,7.810000,7.684925,300
2020-05-15,7.810000,7.810000,7.810000,7.810000,7.684925,0
2020-05-18,8.600000,8.600000,7.740000,7.740000,7.616046,300
2020-05-19,7.740000,7.740000,7.740000,7.740000,7.616046,0
2020-05-20,7.740000,7.740000,7.740000,7.740000,7.616046,0
2020-05-21,6.700000,8.350000,6.700000,7.840000,7.714445,1100
2020-05-22,7.840000,7.840000,7.840000,7.840000,7.714445,0
2020-05-26,8.601000,8.601000,8.601000,8.601000,8.463258,200
2020-05-27,8.200000,8.300000,8.180000,8.180000,8.049000,1500
2020-05-28,8.180000,8.180000,8.180000,8.180000,8.180000,0
2020-05-29,8.850000,8.850000,8.850000,8.850000,8.850000,100
2020-06-01,8.850000,8.850000,8.850000,8.850000,8.850000,0
2020-06-02,8.850000,8.850000,8.850000,8.850000,8.850000,0
2020-06-03,8.850000,8.850000,8.850000,8.850000,8.850000,0
2020-06-04,8.950000,8.950000,8.910000,8.910000,8.910000,800
2020-06-05,8.060000,8.840000,8.060000,8.440000,8.440000,1400
2020-06-08,8.440000,8.440000,8.440000,8.440000,8.440000,0
2020-06-09,8.440000,8.440000,8.440000,8.440000,8.440000,200
2020-06-10,8.730000,9.200000,8.730000,9.200000,9.200000,2000
2020-06-11,9.200000,9.200000,9.200000,9.200000,9.200000,0
2020-06-12,9.200000,9.200000,9.200000,9.200000,9.200000,0
2020-06-15,8.800000,8.800000,8.800000,8.800000,8.800000,100
2020-06-16,9.000000,10.070000,9.000000,10.000000,10.000000,12200
2020-06-17,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-06-18,9.190000,9.190000,8.473000,8.920000,8.920000,1600
2020-06-19,8.350000,10.090000,8.350000,9.000000,9.000000,5000
2020-06-22,8.570000,8.570000,8.500000,8.500000,8.500000,800
2020-06-23,8.620000,9.000000,8.500000,8.950000,8.950000,2500
2020-06-24,8.950000,9.000000,8.950000,8.950000,8.950000,9300
2020-06-25,8.680000,8.975000,8.680000,8.960000,8.960000,1500
2020-06-26,8.950000,8.950000,8.950000,8.950000,8.950000,100
2020-06-29,8.950000,8.950000,8.950000,8.950000,8.950000,2000
2020-06-30,9.000000,10.000000,9.000000,9.800000,9.800000,13200
2020-07-01,9.100000,9.100000,9.100000,9.100000,9.100000,600
2020-07-02,9.319000,9.319000,9.200000,9.250000,9.250000,4100
2020-07-06,9.250000,9.250000,9.250000,9.250000,9.250000,0
2020-07-07,9.250000,9.250000,9.250000,9.250000,9.250000,0
2020-07-08,9.250000,9.250000,9.250000,9.250000,9.250000,0
2020-07-09,9.000000,9.000000,9.000000,9.000000,9.000000,100
2020-07-10,9.000000,9.000000,9.000000,9.000000,9.000000,0
2020-07-13,9.350000,9.350000,8.000000,8.000000,8.000000,1200
2020-07-14,8.000000,8.000000,8.000000,8.000000,8.000000,0
