Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,10.350000,10.400000,9.800000,9.900000,9.900000,176900
2020-01-21,11.050000,12.600000,10.500000,10.520000,10.520000,484600
2020-01-22,10.740000,12.263000,10.740000,11.500000,11.500000,437800
2020-01-23,11.450000,12.460000,11.382000,11.830000,11.830000,441800
2020-01-24,11.510000,12.120000,11.510000,11.720000,11.720000,252800
2020-01-27,12.000000,12.142000,11.690000,11.710000,11.710000,289000
2020-01-28,11.710000,12.019000,11.500000,11.800000,11.800000,98600
2020-01-29,11.740000,17.500000,11.695000,17.299999,17.299999,632400
2020-01-30,18.200001,23.860001,16.070000,19.400000,19.400000,1979200
2020-01-31,16.750000,16.990000,15.482000,16.660000,16.660000,329600
2020-02-03,16.400000,16.400000,13.820000,14.250000,14.250000,158200
2020-02-04,13.900000,14.000000,12.800000,12.850000,12.850000,213500
2020-02-05,13.360000,14.690000,13.000000,14.110000,14.110000,211100
2020-02-06,14.890000,14.890000,13.645000,14.230000,14.230000,123800
2020-02-07,14.610000,14.610000,13.910000,14.160000,14.160000,131900
2020-02-10,13.880000,14.310000,12.580000,12.600000,12.600000,165700
2020-02-11,12.660000,13.810000,12.650000,12.810000,12.810000,149200
2020-02-12,12.840000,14.270000,12.840000,14.080000,14.080000,137800
2020-02-13,13.990000,15.480000,13.820000,15.140000,15.140000,106000
2020-02-14,15.370000,16.270000,15.200000,16.270000,16.270000,138500
2020-02-18,16.250000,16.990000,15.710000,16.549999,16.549999,77400
2020-02-19,16.650000,18.424999,16.636000,17.687000,17.687000,141500
2020-02-20,18.139999,19.100000,18.000000,18.410000,18.410000,146500
2020-02-21,19.000000,19.000000,18.316000,19.000000,19.000000,114500
2020-02-24,18.370001,18.500000,17.240000,18.500000,18.500000,111300
2020-02-25,18.680000,20.257999,18.153999,19.580000,19.580000,179700
2020-02-26,19.719999,20.389999,19.719999,20.070000,20.070000,145700
2020-02-27,19.969999,19.969999,17.350000,19.150000,19.150000,188000
2020-02-28,20.820000,20.820000,17.719999,19.080000,19.080000,87900
2020-03-02,18.900000,22.860001,18.900000,22.860001,22.860001,142600
2020-03-03,23.500000,24.049999,20.590000,20.990000,20.990000,96300
2020-03-04,21.370001,25.270000,21.370001,25.100000,25.100000,133400
2020-03-05,24.230000,27.889999,23.160000,23.400000,23.400000,204800
2020-03-06,26.000000,29.219999,24.587999,26.540001,26.540001,189500
2020-03-09,26.400000,26.400000,20.000000,22.950001,22.950001,311500
2020-03-10,23.799999,32.000000,23.799999,25.650000,25.650000,287100
2020-03-11,23.000000,29.775000,22.580000,27.980000,27.980000,288100
2020-03-12,24.049999,26.180000,22.350000,23.330000,23.330000,108400
2020-03-13,24.059999,27.690001,20.059999,22.219999,22.219999,112800
2020-03-16,21.219999,21.219999,11.060000,11.550000,11.550000,473800
2020-03-17,12.760000,13.330000,11.630000,11.690000,11.690000,178600
2020-03-18,11.320000,11.640000,10.170000,10.310000,10.310000,130900
2020-03-19,10.000000,11.170000,10.000000,10.150000,10.150000,130200
